age,sex,s,v,rs,rv,dead,vrs,sv,n
57,female,0.09752829361782654,0.039241046551479614,0.2916737255,0.0,0,0,0.0044564827542583054,0.5671004515764355
57,male,0.10785561052539833,0.028987715402195375,0.33194666689999996,0.0,0,0,0.0036374845150933073,0.5275725226573129
58,female,0.09452643947256843,0.039043939677057646,0.295985098,0.0,0,0,0.004280797585127057,0.5661637252652469
58,male,0.1062174101954349,0.026769630260785326,0.33685333359999997,0.0,0,0,0.0032920364926968372,0.526867589451083
59,female,0.09165680559432832,0.03836887905904713,0.30029647049999997,0.0,0,0,0.004061342187723554,0.5656165026589011
59,male,0.1045620517646296,0.0248488117880137,0.3417600003,0.0,0,0,0.002994766719478329,0.5258343694278784
60,female,0.08891305929875393,0.037211341307984404,0.304607843,0.0,0,0,0.003802639951511436,0.5654651164417502
60,male,0.1028914402880702,0.02322749864057381,0.346666667,0.0,0,0,0.002743436538744475,0.5244709575326115
61,female,0.08431218938058668,0.03263031176473489,0.3069509803,0.0,0,0,0.0031265327976622783,0.5729799857570161
61,male,0.0975965134267456,0.02339661629622312,0.34933333359999996,0.0,0,0,0.002605459265359792,0.5270680774116716
62,female,0.07964184644481863,0.031087794835320478,0.30929411760000003,0.0,0,0,0.0027929526071506267,0.5771832885127102
62,male,0.09268643937667971,0.022213965711297242,0.3520000002,0.0,0,0,0.002332362723877101,0.530767231988146
63,female,0.0752241901502238,0.029306052774868502,0.3116372549,0.0,0,0,0.00246866898135094,0.5813638331935567
63,male,0.08797819813154029,0.021200325008407055,0.3546666668,0.0,0,0,0.0020987044012413074,0.5340561056588113
64,female,0.07104695625519808,0.027283792879672673,0.31398039219999996,0.0,0,0,0.002154974623969499,0.5855338840411598
64,male,0.08346748198860306,0.020359876374080106,0.35733333339999995,0.0,0,0,0.0019003021109248602,0.536939006126392
65,female,0.06712506423200101,0.024658167991879178,0.3163235295,0.0,0,0,0.0018261233392658587,0.5900671149368539
65,male,0.07915977858531847,0.019581552241355958,0.36,0.0,0,0,0.0017231908881877782,0.5395354782851378
66,female,0.062788758157179,0.020673312794666717,0.3186666668,0.0,0,0,0.0014184504512594113,0.5964528117968948
66,male,0.07446139388516154,0.01836866115413558,0.3626666666,0.0,0,0,0.0015102318160891356,0.5429930465446138
67,female,0.058602284733466424,0.01834863857617107,0.3210098041,0.0,0,0,0.0011663871710976222,0.6008728854192649
67,male,0.06998910980962725,0.01752588646924766,0.36533333319999994,0.0,0,0,0.0013462507094037025,0.5458054198117215
68,female,0.054660996361784946,0.01626184877357009,0.3233529414,0.0,0,0,0.0009577311215653129,0.6047664823430796
68,male,0.0657682427593039,0.016627146974590213,0.3679999998,0.0,0,0,0.0011932831975325936,0.5484113272685733
69,female,0.050954326301208365,0.014418680674531243,0.3256960787,0.0,0,0,0.0007867450149950086,0.6081441693092654
69,male,0.06178683761392265,0.015672888229127435,0.3706666664,0.0,0,0,0.0010508837215116081,0.5508227240354383
70,female,0.047471684996191144,0.012824263601084945,0.328039216,0.0,0,0,0.0006482995293562933,0.6110165358733676
70,male,0.05803323680888574,0.014663565458410585,0.373333333,0.0,0,0,0.0009185970557894931,0.5530512676769141
71,female,0.044506136446704404,0.012645323609265312,0.3352560787,0.0,0,0,0.0005972870784253199,0.606995174165605
71,male,0.05294897559528037,0.013132519783782281,0.3815466664,0.0,0,0,0.000745149296825468,0.5516266889241119
72,female,0.04176637922975962,0.01135635191725138,0.3424729414,0.0,0,0,0.0005011894437765432,0.6039031380092125
72,male,0.04825836783789755,0.012114614464265042,0.3897599998,0.0,0,0,0.0006226078545556465,0.5492444100432818
73,female,0.03918099784860075,0.010224744537644471,0.3496898041,0.0,0,0,0.0004216241129318879,0.6004828294008229
